period,demand,marketPrice,oldMarketPrace,player kazanma,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,quant,player_bid_price,pltNum,Bioenergy,CCGT,Coal,Geothermal,Hydro,Nuclear,Solar,Wind,capacity,investmentCost,efficiency,capacityFactor,CO_Emission,to_build_period,operation_period,fc_Urn,fc_Coal,fc_Gas,fc_Bio,cc_Urn,cc_Coal,cc_Gas,cc_Bio
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,150,99,12,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,60,12,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,60,17,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,125,17,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,200,80,18,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,280,60,18,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,200,125,18,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,200,51,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,680,200,52,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,25,29,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200,35,30,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,480,50,30,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,5,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,680,0,6,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
2,26826,200,200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,200,25,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,175,26,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,150,27,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,125,28,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,150,65,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,66,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,80,1,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,90,1,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,80,2,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,80,2,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,2,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,2,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,110,2,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,110,2,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,120,2,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,140,2,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,200,19,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,200,20,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65,31,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,75,32,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,55,9,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,125,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,80,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,75,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,90,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,200,7,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,200,8,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,200,62,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,100,37,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,400,100,38,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,180,40,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,160,40,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,680,190,41,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,30,3,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,680,120,4,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,75,23,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,120,23,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,80,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,70,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150,200,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150,100,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,150,33,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,600,160,34,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60,200,21,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60,200,21,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,680,200,22,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,680,200,22,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,100,17,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
2,26826,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,150,17,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.74,3,0,2,2.1645,0.5
